work_experience_id,freelancer_id,job_title,company_name,start_date,end_date,is_current,description
2939edbb-fcda-4858-957e-a40560c4db72,ff3bb0e9-b5db-4ce2-9d45-3a4e5fa7ede9,Senior Frontend Engineer,Digital Agency,2025-01-08,,1,Multi-step onboarding flow with autosave and validation across 12 fields
a1f68a60-0d39-4b0f-8d8b-d0db9b324388,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,Senior Design Engineer,StartupXYZ,2025-05-08,,1,"Brand redesign for an EdTech startup — logo, type system, web and print collateral"
82047638-17f6-49f2-ad65-c37b04667f70,d677ef28-61e2-4e41-b777-c268458b72ac,Senior Frontend Engineer,Digital Agency,2023-12-15,,1,"Customer dashboard with charting, filtering, and CSV export — handles 200k rows"
ad402317-1924-4e83-a454-5bbd9482d719,93d7cdd9-6e09-403d-94f8-141e196bd172,Senior Frontend Engineer,BigCo,2025-04-08,,1,Marketing landing page with WebGL hero and 95+ Lighthouse score
bdb8e42e-2baa-413c-9f0b-df49b99906eb,6d979a99-f687-4990-9447-59cf33b6b641,Senior Fullstack Engineer,Fintech Co,2025-01-08,,1,"B2B vendor portal with invoice generation, e-signing, and audit trail"
b0d394ec-2014-4b7b-b63d-520372f590bf,9b8b972e-1b0d-4abd-afdc-dda396011462,Senior Fullstack Engineer,BigCo,2024-02-13,,1,"Subscription analytics dashboard pulling from MRR, churn, and LTV metrics"
297eaaa6-9a4a-4884-849a-0a124ccb7af1,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,Senior Frontend Engineer,StartupXYZ,2025-03-09,,1,Admin panel with role-based access control and granular permission editing
96684207-5bb2-4f4b-9ecb-012f2d9578e7,f00a463e-237b-4b2d-ae62-d150ad6495f4,Senior Mobile Engineer,Fintech Co,2025-08-06,,1,Travel itinerary builder with airline schedule sync and weather overlays
2741f1d5-c67c-4858-9ae7-7d0db4c0c761,12fe4c16-130e-4cdc-a04d-e1d5cb534814,Senior Devops Engineer,StartupXYZ,2025-01-08,,1,"Set up Terraform modules for repeatable VPC, RDS, and IAM provisioning"
0ca52dda-d931-49c9-8055-f7b449a33df2,12fe4c16-130e-4cdc-a04d-e1d5cb534814,Devops Engineer,Digital Agency,2022-11-20,2024-11-09,0,Implemented blue/green deploys with automated rollback on failed health checks
07ff25dd-2019-4090-8a36-512f6780bee1,12fe4c16-130e-4cdc-a04d-e1d5cb534814,Devops Engineer,E-Commerce Ltd,2021-12-25,2022-09-21,0,"Migrated a monolith to ECS Fargate, cutting deploy time from 25 to 4 minutes"
9caba59b-3a65-4992-87d4-f7d7a1935845,56f6d049-dbd5-4cd7-a1e9-c24972f652ad,Senior Mobile Engineer,Fintech Co,2025-03-09,,1,"Food-delivery rider app with GPS tracking, push notifications, in-app payments"
95925811-6e5f-40fa-93b3-a753e6c3dfda,2e9239fa-5512-4684-99e8-c2a935400d98,Senior Backend Engineer,Consultancy,2023-08-17,,1,Stripe-style webhook receiver with idempotent retries and dead-letter handling
c9c3aa5a-22c8-4224-b2bb-5254f7618a5a,7bb0a060-dc92-4322-a0d2-12245463e121,Senior Ml Ai Engineer,BigCo,2024-05-13,,1,Image-tagging model deployed via FastAPI with GPU autoscaling on Kubernetes
